StopNum,Type,Day,Longitude,Latitude,NumOfPackages
3462,Pickup,Mon,29.2731911,40.863555,29
3463,Delivery,Mon,29.2963746,40.8597519,5
3464,Pickup,Mon,29.2731182,40.8635601,8
3465,Pickup,Mon,29.3975145,40.8558792,58
3466,Delivery,Mon,29.3252976,40.9372728,14
3467,Delivery,Mon,29.2957262,40.8190738,1
3468,Delivery,Mon,29.3240123,40.8761984,1
3469,Delivery,Mon,29.0978013,41.0256793,5
3470,Delivery,Mon,29.314979,40.8171362,1
3471,Delivery,Mon,29.2074057,40.8847368,1
3472,Delivery,Mon,29.3149234,40.8171628,1
3473,Delivery,Mon,29.1783853,41.0146597,3
3474,Delivery,Mon,29.3149235,40.8171823,1
3475,Pickup,Mon,29.4433622,40.7953818,3
3476,Delivery,Mon,29.1321708,40.8753204,1
3477,Delivery,Mon,29.1269532,40.8682064,1
3478,Delivery,Mon,29.1321416,40.8752362,1
3479,Delivery,Mon,29.1321444,40.8752367,1
3480,Pickup,Mon,29.3253739,40.9373079,4
3481,Delivery,Mon,29.1941006,41.018155,1
3482,Delivery,Mon,29.3149081,40.8171567,1
3483,Delivery,Mon,29.5488888,40.8202842,1
3484,Pickup,Mon,29.3628625,40.8884443,1
3485,Delivery,Mon,29.4318328,40.8005124,1
3486,Delivery,Mon,29.3149898,40.8171769,2
3487,Delivery,Mon,29.1782819,41.0147588,3
3488,Delivery,Mon,29.1785412,41.0147106,1
3489,Delivery,Mon,29.4462198,40.8379284,1
3490,Delivery,Mon,29.1569648,41.0019225,23
3491,Delivery,Mon,29.0995574,40.9964899,1
3492,Pickup,Mon,29.178419,41.0146796,33
3493,Delivery,Mon,29.3149709,40.8171944,1
3494,Delivery,Mon,29.3149777,40.8171886,1
3495,Delivery,Mon,29.181708,41.0080756,1
3496,Delivery,Mon,29.5677772,40.8213094,1
3497,Delivery,Mon,29.4384265,40.8410258,1
3498,Pickup,Mon,29.2605085,40.9737974,145
3499,Pickup,Mon,29.3358248,40.927633,1
3500,Pickup,Mon,29.3056059,40.8596426,1
3501,Pickup,Mon,29.3478814,40.920241,209
3502,Pickup,Mon,29.1701908,40.9891514,50
